[u'Workshop on Cryptographic Hardware and Embedded Systems', u'CHES', 26]
[u'International Conference on Measurement and Modeling of Computer Systems', u'SIGMETRICS', 26]
[u'International Conference on Web Services', u'ICWS', 26]
[u'Intelligent Vehicles Symposium', u'IV', 26]
[u'International Symposium/Conference on Music Information Retrieval', u'ISMIR', 26]
[u'International Conference on Computational Linguistics', u'COLING', 26]
[u'International Journal of Applied Earth Observation and Geoinformation', u'IJAEOG', 26]
[u'IEEE Transaction on Biomedical Circuits and Systems', u'TBCAS', 26]
[u'Transactions on Affective Computing', u'TAC', 26]
[u'SIAM Journal on Matrix Analysis and Applications', u'SIMAX', 26]
[u'Journal of Multivariate Analysis', u'JMA', 26]
[u'Science of Computer Programming', u'Sci. Comput. Program.', 26]
[u'Mathematics of Computation', u'Math. Comput.', 26]
[u'Journal of Computational Biology', u'JCB', 26]
[u'Data Mining and Knowledge Discovery ', u'DMKD', 26]
[u'Journal of Artificial Intelligence Research', u'JAIR', 26]
[u'Computer-Aided Design', u'CAD', 25]
[u'MICRO', u'MICRO', 25]
[u'Information & Management', u'INFORM MANAGEMENT', 25]
[u'International Symposium on Software Testing and Analysis', u'ISSTA', 25]
[u'Mining Software Repositories', u'MSR', 25]
[u'IEEE Congress on Evolutionary Computation', u'CEC', 25]
[u'ACM Symposium on Operating Systems Principles', u'SOSP', 25]
[u'Pervasive and Mobile Computing', u'PMC', 25]
[u'Robotics: Science and Systems', u'RSS', 25]
[u'International Symposium on Circuits and Systems', u'ISCAS', 25]
[u'Computer-Aided Civil and Infrastructure Engineering', u'CACAIE', 25]
[u'Journal of Scientific Computing', u'J. Sci. Comput.', 25]
[u'ACM Transactions on Database Systems', u'TODS', 25]
[u'EURASIP Journal on Advances in Signal Processing', u'EURASIP', 25]
[u'European Test Symposium', u'ETS', 25]
[u'Journal of the Association for Information Systems ', u'JAIS', 25]
[u'Computers in Industry', u'CiI', 24]
[u'Discrete Applied Mathematics', u'DAM', 24]
[u'Interacting with Computers', u'IWC', 24]
[u'INFORMS Journal on Computing', u'IJOC', 24]
[u'Information Fusion', u'INFFUS', 24]
[u'The IEEE International Conference on Software Testing, Verification and Validation', u'ICST', 24]
[u'Vehicular Technology Conference', u'VTC Fall', 24]
[u'International Cryptology Conference', u'CRYPTO', 24]
[u'European Conference on IR Research', u'ECIR', 24]
[u'International. Conference on Software Maintenance', u'ICSM', 24]
[u'PerCom Workshops', u'PerCom Workshops', 24]
[u'European Conference on Object-Oriented Programming', u'ECOOP', 24]
[u'Real-Time Systems Symposium', u'RTSS', 24]
[u'Symposium On Usable Privacy and Security', u'SOUPS', 24]
[u'International Conference on Principles of Knowledge Representation and Reasoning', u'KR', 24]
[u'IEEE Transactions on Consumer Electronics ', u'TCE', 24]
[u'ACM Transactions on Software Engineering and Methodology', u'TOSEM', 24]
[u'European Journal of Information Systems', u'EJIS', 24]
[u'IEEE Transactions on Robotics', u'TR', 24]
[u'Information and Computation', u'Inf. Comput.', 24]
[u'Data & Knowledge Engineering', u'Data Knowl. Eng.', 24]
[u'Information Processing & Management', u'Inf. Process. Manage.', 24]
